title,url,source,date,language,state,district,search_term,full_text,relevance_score
10 Telangana Districts Cross 45°C as Heatwave Tightens Grip,https://www.deccanchronicle.com/southern-states/telangana/10-telangana-districts-cross-45c-as-heatwave-tightens-grip-1957873,Deccan Chronicle,2026-05-20T00:25:39+05:30,en,Telangana,Adilabad,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"") Telangana","In the city, Chandanagar recorded the highest temperature at 42.6°C, followed by Quthbullapur 42.8°C and LB Nagar, Santoshnagar, Rajendranagar and Malkajgiri at around 42.4°C.
Hyderabad:In line with the caution for extreme heat, the mercury nudged the 46º Celsius-mark Korutla in Jagtial district. The town was the hottest in the state at 45.9°C, as severe heatwave conditions swept across northern and central Telangana. At least nine other districts recorded temperatures above 45°C.
In the city, Chandanagar recorded the highest temperature at 42.6°C, followed by Quthbullapur 42.8°C and LB Nagar, Santoshnagar, Rajendranagar and Malkajgiri at around 42.4°C.
According to Telangana Development Planning Society (TGDPS) data, Nalgonda, Nirmal and Siddipet also touched 45.8°C, while Mancherial and Peddapalli recorded 45.7°C. Adilabad registered 45.6°C along with Kamareddy, Karimnagar, Nizamabad, Rajanna Sircilla and Kumuram Bheem districts.
The India Meteorological Department-Hyderabad (IMD-H) in its advisory said heatwave conditions could become dangerous, especially for children, elderly persons, outdoor workers and people with chronic illnesses. The department advised people to avoid direct heat exposure during afternoon hours, drink water regularly even when not thirsty, and wear loose, light-coloured cotton clothes.
The IMD also warned against strenuous outdoor activity between noon and 3 pm and advised people not to leave children or pets inside parked vehicles. It suggested using oral rehydration solutions, buttermilk, lemon water and other fluids to prevent dehydration.
Doctors have repeatedly warned that prolonged exposure to extreme temperatures can lead to heat exhaustion, dehydration and heatstroke. Symptoms such as dizziness, headache, nausea, confusion and high body temperature should not be ignored.
The IMD said people experiencing symptoms of sunstroke should immediately be moved to a cooler place, given fluids and taken to the nearest health centre if symptoms persist.
The department also issued advisories for farmers and livestock owners, asking them to increase irrigation frequency, avoid grazing cattle during peak afternoon hours and ensure animals have shade and adequate drinking water.",1.0
Telangana reels under heatwave as Adilabad touches 44.8 degrees Celsius; Hyderabad also sizzles - Telangana Today,https://news.google.com/rss/articles/CBMivgFBVV95cUxOT1A4ZzJtTk1WdEVyNHRXWDhnckh2WXVyZUtRalVwenh5cGh3c2JOWjE2MEZNZzJjVm1mbWNsZks2V04zMkVoQmVzSldxTF9ZMHk3QUstblNPdnYxRE9nRVliWTRPZHhfV0hMbDFObC1QMm80V0VsZlpQSFk1MmFuTjExOWx4M2ZpSmJaZWRfUU5fWDNyTDdLVjlHMHQzOXhkTEU3OVJ0V2UwdUZLaHotUjdsQkVqcTJYSEtfY2J3?oc=5,Telangana Today,2026-05-20T13:01:28+05:30,en,Telangana,Adilabad,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Telangana","Home |Hyderabad |Telangana Reels Under Heatwave As Adilabad Touches 44 8 Degrees Celsius Hyderabad Also Sizzles
Telangana reels under heatwave as Adilabad touches 44.8 degrees Celsius; Hyderabad also sizzles
Telangana continued to experience intense heat conditions as temperatures soared between 40°C and 44.8°C across districts on Tuesday, according to IMD data. Adilabad remained the hottest, while several areas in Hyderabad also recorded above-normal temperatures amid persistent summer heat.
Hyderabad: As the summer peaked, day temperatures in the State on Tuesday ranged between 40 degrees Celsius and 44 degree Celsius.
According to the India Meteorological Department (IMD), Hyderabad, Adilabad was the hottest district recording 44.8 degrees Celsius, which is 2.1 degrees Celsius above normal, followed by Nizamabad at 44 degrees Celsius, which is 1.9 degree Celsius above normal and Ramagundam at 43, which is one degrees Celsius more than normal.
Other districts that recorded higher temperatures included Ramagundam (43 degrees Celsius), Nalgonda and Khammam (42 degrees Celsius), Medak (41.8 degrees Celsius), Hanamkonda (41.5 degrees Celsius) and Mahabubnagar 41 degrees Celsius.
Most areas in Hyderabad on Tuesdasy recorded rising temperatures including Hakimpet (41.5 degrees Celsius), Hayathnagar (41 degrees Celsius), Rajendranagar (40.5 degrees Celsius) and Begumpet (40.7 degrees Celsius).
Top 5 in Telangana: IMD Data: (Last 24 hours till 8.30 am on Wednesday ) Adilabad (44.8); Nizamabad (44), Ramagundam (43) Nalgonda and Khammam (42), Medak (41.8), Mahabubnagar( 41)
Top 5 in Hyderabad: IMD Data: Hakimpet (41.5), Hayathnagar (41), Rajendranagar (40.5), Begumpet (40.7) and Patancheru (39.1).",1.0
