title,url,source,date,language,state,district,search_term,full_text,relevance_score
"Gurgaon power outage: City plunged into darkness as ACs fail, lifts stall, & metro disruption forces commu - The Economic Times",https://news.google.com/rss/articles/CBMiuwJBVV95cUxNWXlqaFlFUTB6b1U0WEs5SFcwUEhTMlloaWE2SndCaHQzZmpBbk5HTGN1OUxmWkh1Y2NoQTlpRVRybFFrUWN2OFNTMlQtWno3SWc2X3ZSc3M0UUxUQzVOcVRjdU5JcmpRVjA0SDZsTndza1laTWQ0a1pDQ3NJcS1pVy1PTWE0UDBfdzFKOW9kY3NMSk1hSy1meGJZTmlOa0UxMTdJODhBb0N6RFZZUUhjRnM2RW8tQVlUT2N3aFZab3lyTFFYTURDdElOZkpfemp6eS1FLUNlZG1MLV9MMXRYVWpfSUZpRFk1M1hqNkpVZjU0YzR4ZVRXNlA5eTJfcno5ZDZyTmIzbXVIdE5WUEVxYlBmeW12QTRyZWF6Tkp1UTZWVGNTMDNSX1VQT1lEbGUxY0Zqa1BnTlJpa2PSAcACQVVfeXFMTkY2aHNoVDhaeGVJSWlyNnlXQzIzaWpueVl3WmJ6ZVZaVE5CREktQXNONnJtUmVuUkNFeEJWQU9RMk5NRHNTa0l3dmR4Yjk4QUtjbFNmcWFja3dtNDRkZEJmSFRFWGhWTnVjUU9fdnY3MWZsajlqZjVYYlJ4UmozemFGRl9EYVZjTzRkX2d0dWxQeFFqM0ljQWFvOFdidzJHTEVid09IeWJ3SzIzZTQzZjZWblNvOEwwbS01X0d6cllwbE1hV2Y5cF81X0F3Z3FVN0lPNXBDSm03NUd2amlrNENsOWU3TE5HUi1LWEtYaGU2TlJyWTlsdUpDRElkaFp4cUF5WU8yY1F4ZlE2WTZQQlZHRWNCNTR0Z3pkbGg0T0ZtMWdEaUpJSFluOGZiZTFVUEVCRGpJNmF5MXJRWUh5Z0M?oc=5,The Economic Times,2026-05-23T09:33:34+05:30,en,Haryana,Gurgaon,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Haryana","Temperatures had touched 42.7°C, while electricity demand had surged to an all-time high just a day earlier, putting additional strain on the already stressed power infrastructure.
Rapid Metro services disrupted; commuters stranded
The blackout also severely impacted Rapid Metro operations, leaving several commuters stranded at stations and inside trains during peak hours.A Delhi Metro official told TOI, “The power supply failure from HVPNL’s Sector 72 substation, which feeds Rapid Metro and the Gurgaon section of the Yellow Line, halted Rapid Metro train services from 7.50 pm to 8.33 pm.”
Some commuters were forced to step out of halted trains and walk along metro tracks to reach nearby stations, causing alarm and confusion during the disruption.
Technical fault at Sector 72 substation triggered cascading outage
According to officials, the disruption began around 7 pm after a transformer fault developed in one of the circuits at the Sector 72 substation. This led to a shutdown and cascading impact across multiple downstream substations.Supply was affected in several key areas including sectors 38, 44, 46, 52, 56, 15 and the Maruti plant, disrupting power across Golf Course Road, Sohna Road, MG Road and large parts of Sectors 45, 47, 50, 51, 52, 56 and 57.
An official involved in restoration work said, “Our teams are working on the fault, but repairs may take several hours.”
Residents suffer through sweltering heat and long power cuts
For thousands of residents, the timing of the outage made conditions especially unbearable amid extreme heat and humidity.“It’s impossible to sleep in this heat. The power has been out since evening and we have no idea when it will return,” TOI quoted Amit Sharma, a resident of Sector 46, as saying.
In Sector 56, residents reported repeated tripping issues earlier in the week. “This complete blackout is the worst we’ve seen this summer,” said Ritu Arora.
Even societies with backup generators faced challenges, with rising diesel costs adding financial pressure. “Generator backup is expensive. During long cuts, societies burn huge amounts of diesel and the bills go up,” said Sumit Anand of Sushant Lok.
Heatwave intensifies pressure on Gurgaon power grid
The blackout came amid a severe heatwave gripping the region, with IMD issuing an orange alert for heatwave to severe heatwave conditions across Haryana between May 24 and 27.On Thursday, Gurgaon recorded its highest-ever power demand at 2,372 MW, reflecting the extreme strain on the electricity network as temperatures remained above 40°C throughout the week.
Rapid Metro restoration and partial recovery of services
Officials confirmed that Rapid Metro services were suspended between 7.50 pm and 8.33 pm but were restored once power supply was stabilised through backup systems.A commuter told TOI, “I’ve been waiting for 30 minutes. Some people have already left to find other means of transport.”
Repeated infrastructure failures raise concerns
This incident comes just days after another major outage caused by a fire at the Sector 9 substation, which left around 1,500 families without power for nearly nine hours in parts of New Gurgaon.Residents expressed frustration over recurring disruptions during peak summer demand.
“Every summer it’s the same story, faults, fires and long cuts. The system clearly cannot handle the load,” said Naveen Batra of Sector 52, speaking to TOI.",1.0
Gurgaon Weather Latest Update Today: IMD Issued Orange Alert for Dust Storm Amid Scorching Heatwave - The Sunday Guardian,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQR0lrbV9YWW1TMElYTW0wMmthR2dXVE1sLXViV0tyakdFMXN0dWVzeHNfSUw4NGU4c29JTzNfNmFWcEpfRjh4LWRjdlFVWURTV3ptZTBTVUhIR2NPZmlHVGhsTU8zRjVvVUpuT0xZbVJJaWhNT1AybnZEOHRKMUtCVnphQmllVUFNRTk4b3ZoQzd2Q21GRW5GaGQ2Tm85azMwd1Fzd0JQYTIya2tGSUJTcWk4Rk1XU2pycVZMMGZPYlBQYjZ5ejgwYWxRQmJLM2w0X0JyRThjTXZmSzTSAeABQVVfeXFMT0RxTl9qdzMxSkoxYnZLTnNvUDQ4am1qVk9nYVFQdnRRYnozejhEMy1rYXJaZGJsZHVPXzlIbFcwelVfYW1PZ01DRFo2M0ZXWGxOREVrTVNnVFl2dExZYm43emt5RWF6RkFIVmFtLTVsY2RlaFZwZHlka0RPUlhPamdWQjVNTlY1MW95NGtibUdJSHMwYTRqZ2V6YmVYbzFLZkZqYW5UNkkyZm5Tdmd2RWl0T0VVbDJVcFV6M1VGdnNRLVBURm4yLWV6NG4yVFNkWTFBWm5HUWpmTTJ6RE5vMU0?oc=5,The Sunday Guardian,2026-05-23T10:28:47+05:30,en,Haryana,Gurgaon,"heatwave (Ambala OR Bhiwani OR ""Charkhi Dadri"" OR Faridabad OR Fatehabad OR Gurgaon OR Hisar OR Jhajjar OR Jind OR Kaithal OR Karnal OR Kurukshetra OR Mahendragarh OR Mewat OR Palwal OR Panchkula OR Panipat OR Rewari OR Rohtak OR Sirsa OR Sonipat OR Yamunanagar) Haryana","Gurgaon Weather Latest Update Today: The heat wave conditions continue on Saturday, which is prevailing in Gurgaon. On Saturday, a temperature of 37 degrees Celsius was registered at 9:40 AM, with sunshine, humidity levels of 28 percent, and wind speeds up to 18 kilometers per hour. The India Meteorological Department (IMD) has declared an Orange Alert for Gurgaon, which persists until 10:58 AM IST due to dust storm conditions.
As per weather reports, the maximum temperature is likely to reach 42 degrees Celsius on Saturday. In addition, the temperature is going to increase and touch levels of almost 45 degrees from Sunday to Tuesday. The UV index was extremely high at 8.
IMD Heatwave Alert Till May 28 Across India
Many regions in India continued to be held hostage by a raging heatwave, with the temperature touching 48°C in some states. Heat wave/very heat wave conditions have been forecasted for north-western, central, eastern, and parts of peninsular India until May 28. Health precautions have been announced for people, advising them not to venture outdoors under the blazing sun during peak hours.
Gurgaon Temperature Expected to Cross 45°C
As per weather reports, Gurgaon will experience extremely hot weather conditions during the next few days. According to reports, temperatures in Gurgaon are going to touch almost 45 degrees Celsius from Sunday through Tuesday. Weather will remain dry and very hot winds will be blowing from Rajasthan into Gurgaon as well as other regions of the NCR for the next one week.
Gurgaon Power Cut Disrupts Rapid Metro Services
In addition to the ongoing heat wave, Gurgaon also experienced a significant power cut on Friday evening following an issue with a 220kV substation located in Sector 72. The power failure had caused considerable inconvenience to a number of residential and commercial areas in the city. The rapid metro service was also affected owing to the power failure, leaving several travelers stranded. It was reported that some travelers had to walk from one station to another through the metro lines.
Delhi NCR Heatwave Conditions Continue
Heat wave continued in Delhi-NCR as the temperature remained higher than average in the region. The maximum temperature at Safdarjung, which is the main weather monitoring center for Delhi, was 43.3°C, while Ridge recorded 44.4°C as the maximum, some of the highest temperatures reported from the national capital in this season. The Indian Meteorological Department (IMD) has issued a heat wave warning for Delhi till May 28, as per reports.
Rajasthan Haryana and UP Facing Severe Heatwave
Extreme heat and drought-like conditions continued to prevail in Northwest India. Severe heat waves are expected to prevail in West Rajasthan between May 24 and May 28. Haryana cities like Rohtak and Faridabad have also seen temperatures exceeding 45°C in the last few days. In Uttar Pradesh, Banda had the maximum temperature in the country at 47.6°C, whereas Prayagraj and Varanasi have witnessed temperatures exceeding 45°C.
Warm Night Conditions Increasing Heat Stress
IMD has also issued warnings about “warm nights” occurring in some parts of the country like Uttar Pradesh, Odisha, Vidarbha, and Telangana. High nighttime temperatures cause problems since people cannot cool their bodies at night after being exposed to extreme heat during the day. The body cannot cope and becomes dehydrated and overheated.
Light Rain Possible But Major Relief Unlikely
According to the weather experts, it is likely to see occasional rains and even thunderstorms in some parts of Delhi-NCR. But the occurrence of this weather phenomenon will not offer any relief from the prevailing heat wave. Desert winds are anticipated to continue influencing temperature levels in the cities of Gurgaon and Delhi.
Heatwave Advisory for Gurgaon and Delhi NCR Residents
The residents were told to remain indoors from noon to four o’clock in the afternoon since staying indoors would be more comfortable at that time of the day. Medical practitioners cautioned that excessive exposure to intense heat could result in dehydration, heat exhaustion, and heat stroke particularly to children, seniors, outdoor laborers, and those individuals suffering from some illness.",1.0
