title,url,source,date,language,state,district,search_term,full_text,relevance_score
Heatwave claims 16 lives in Telangana; govt announces Rs 4 lakh ex-gratia - India Today NE,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPTS1jbjRabGpSbmVhTXNRZ05xX0U4ekFKS3lzN2l3ZXpiT0pxQ3ozbmg2MEJDaEtUelVrTVZaOTd6UzR2SHdRNEhaOXVaRUlqekRhRWhnczFGT2YweGo2YTQ0TFJhdUUyQjd1Ukh1SUN1RzI5eW1PZmgtRUlHNmdGek1nZHNPQXN2WnFFMXJpQkE4eU44SERxXzRLd3JYampMNGo2QUpRbW9PanRrYmlaOE1vWVRFWnNqVGN3N2dvT21PZFM4VElNcUtkandCdHMwNXF6WtIB1AFBVV95cUxPTS1jbjRabGpSbmVhTXNRZ05xX0U4ekFKS3lzN2l3ZXpiT0pxQ3ozbmg2MEJDaEtUelVrTVZaOTd6UzR2SHdRNEhaOXVaRUlqekRhRWhnczFGT2YweGo2YTQ0TFJhdUUyQjd1Ukh1SUN1RzI5eW1PZmgtRUlHNmdGek1nZHNPQXN2WnFFMXJpQkE4eU44SERxXzRLd3JYampMNGo2QUpRbW9PanRrYmlaOE1vWVRFWnNqVGN3N2dvT21PZFM4VElNcUtkandCdHMwNXF6Wg?oc=5,India Today NE,2026-05-23T15:37:23+05:30,en,Telangana,Jogulamba Gadwal,"""heatwave"" Telangana","Heatwave claims 16 lives in Telangana; govt announces Rs 4 lakh ex-gratia
At least 16 people have died due to heatwave conditions in Telangana during the current summer season, State Revenue Minister Ponguleti Srinivasa Reddy said on Saturday, May 23.
At least 16 people have died due to heatwave conditions in Telangana during the current summer season, State Revenue Minister Ponguleti Srinivasa Reddy said on Saturday, May 23.
The minister reviewed the heatwave situation in a meeting with officials and said the deaths were reported from seven districts across the state.
According to reports received from district collectors, four deaths were reported from Jayashankar Bhupalpally district, while Warangal Urban, Karimnagar and Nizamabad recorded three deaths each.
One death each was reported from Jogulamba Gadwal, Ranga Reddy and Suryapet districts, officials said.
The state government has announced an ex-gratia of Rs 4 lakh each for the families of those who died due to the heatwave, according to an official release.
Several parts of Telangana have been experiencing intense heatwave conditions over the past few weeks, with authorities advising people to avoid prolonged exposure to the sun and take precautionary measures during peak daytime hours.",0.5166666666666666
16 people die due to heatwave in 7 districts of Telangana - The Tribune,https://news.google.com/rss/articles/CBMinwFBVV95cUxPZnVEcTZLSTlhMUM1OVNFb2oxZjl1NHZTNThSdDdiRjhEM01DSjhKYWFDS1Nsa0dxa3l3NkRMTjdtQU1wODc4aEVVaWZLaWxUaVhteUZrcGVFMG44czBuRHB5b1pLUE9HeG9URmdZSUh3WUczVXZucU1xZHBEdVotNmZudFJ6U21pMnJlNUpLRFNJQzhmU255QlU4WnEtb0U?oc=5,The Tribune,2026-05-23T15:33:59+05:30,en,Telangana,Jogulamba Gadwal,"""heatwave"" Telangana","16 people die due to heatwave in 7 districts of Telangana
The government would provide an ex-gratia of Rs four lakh each to the kin of the deceased persons
Telangana Revenue Minister Ponguleti Srinivasa Reddy on Saturday said 16 people died due to heatwave conditions prevailing in the state during the current summer.
Reddy, who held a meeting with officials on the situation arising out of the heatwave, said the 16 deaths took place in seven districts of the state.
Quoting reports received from district Collectors, he said four persons died in Jayashankar Bhupalpally district, followed by three each in Warangal Urban, Karimnagar and Nizamabad and one each in Jogulamba Gadwal, Ranga Reddy and Suryapet.
The government would provide an ex-gratia of Rs four lakh each to the kin of the deceased persons, he said, according to an official release.",0.5166666666666666
"16 die of heatstroke in Telangana, government announces ₹4 lakh ex gratia - The Hindu",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOTzNYUnVRTDl4VE0wTzk3UlVKUGRyWGNBYlFPQW53TzBRcU9fOHpsVmEyOGpHVDRVcGZqOVpLMzhYTEpOTnhiNTFNLTRFbmEtU09ic09VRFhtLUVuR2NneU0wa0gyanFtVWRiWWN5a0RCNVYwckdYQjNiTU1CSWxFNktXeXAwdVJiOVhNRFZHWXJzNThlclFORHhvTFJzdTlRMFlka0R4RUltWktKejNROXdoNTZCLWo1U0tnVXpZSW01ajAxa3l1YUdhbjVJOXJYQ2Fsc1htYUkzSm1GeFHSAeQBQVVfeXFMUHVGWHBITzR2QTlHeWEtSnZ3UHd0TlJ6YXY1bHFpSHdxMU9TYXhVb0pvaC14RV9qNk9paWxkc2VleEk2NE1FZ2NybDY3dWk0SWR4dUQ4djlZUVNaWVlEMjNIclJlQ09IQ0lnZlpwWWprNWozU0N6QTItZDMzYW9Nd2JLYzJtSVhOLXRFTVJqdzBWeHBPZFZ2NERKVXNfY2tsak9mMFFJM29lREREUzhYYk9fdTU2aGNRUFJmVDBWWWprREYxcXlmRWFBakh3ZGE2UzdhOURWQ1AxMDBSNHN3eDJUTEla?oc=5,The Hindu,2026-05-23T14:59:13+05:30,en,Telangana,Jogulamba Gadwal,"""heatstroke"" Telangana","A total of 16 people have died due to heatstroke in Telangana as severe heatwave conditions continue to grip the State, prompting the government to issue a statewide alert and announce ₹4 lakh ex gratia for the families of the deceased.
The announcement was made by Telangana Revenue Minister Ponguleti Srinivasa Reddy on Saturday (May 23, 2026), during an emergency review meeting convened in view of the rising temperatures across the State.
The deaths were reported from seven districts, with Jayashankar Bhupalpally accounting for four fatalities. Warangal Urban, Karimnagar, and Nizamabad reported three deaths each, while Jogulamba Gadwal, Rangareddy, and Suryapet recorded one death each.
The Minister said the compensation for the families of the deceased would be released immediately as per the directions of Chief Minister A. Revanth Reddy. He directed District Collectors to remain on constant alert as the India Meteorological Department (IMD) has warned that severe heatwave conditions are likely to persist over the next three days.
As part of emergency measures, the State Government has ordered the setting up of drinking water, buttermilk, and Oral rehydration solution (ORS) distribution points at bus stands, markets, busy roads, labour congregation points, and other crowded public areas. Officials have also been instructed to ensure that emergency medical services remain on standby for the immediate treatment of heatstroke cases, said a release.
Mr. Reddy appealed to the public to avoid going outdoors between 11 a.m. and 4 p.m. unless absolutely necessary. He also directed officials to take additional precautions to protect agricultural labourers, construction workers, and road workers exposed to prolonged outdoor heat.
The government further appealed to local authorities and residents to make arrangements for providing drinking water to birds and animals through water troughs and earthen pots in villages and urban areas.
Published - May 23, 2026 02:59 pm IST",1.0
