title,url,source,date,language,state,district,search_term,full_text,relevance_score
बॉलिवूडची प्रसिद्ध अभिनेत्री रुग्णालयात दाखल; चाहत्यांमध्ये चिंतेचे वातावरण - Saam Tv,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNR3lYRFFuZkpJeE96WFM3V0xHc3lYNkhSejdqSjloNjlJOGJraks3QXRHMHJISFhURHN4N3pYR1ZNS0h4Vm43VTc1YkRRX3NmOV9pWTZOUnhWejFuejhmLTJuVjF1U0hpNy0zVzc1TlNtTnExdHRocDR5SXBwUEFjMG1JUmxvNnRSaF9lT1RiRlBwenI4WXdxN2Nab3BRZnRzVjlGOVpsSElpbmplUkVId0hkbF9BcmliQ3VUb21fZWJSMWE1am9JZUt0OHl2cHJ2dC1uUHJKam9OYlhwa1doVVZvMlBIem1hYXNMaUV5QjJPV2JjQTdnd9IB-AFBVV95cUxNR3lYRFFuZkpJeE96WFM3V0xHc3lYNkhSejdqSjloNjlJOGJraks3QXRHMHJISFhURHN4N3pYR1ZNS0h4Vm43VTc1YkRRX3NmOV9pWTZOUnhWejFuejhmLTJuVjF1U0hpNy0zVzc1TlNtTnExdHRocDR5SXBwUEFjMG1JUmxvNnRSaF9lT1RiRlBwenI4WXdxN2Nab3BRZnRzVjlGOVpsSElpbmplUkVId0hkbF9BcmliQ3VUb21fZWJSMWE1am9JZUt0OHl2cHJ2dC1uUHJKam9OYlhwa1doVVZvMlBIem1hYXNMaUV5QjJPV2JjQTdndw?oc=5,Saam Tv,2026-08-08T22:24:00+05:30,mr,Maharashtra,Pune,"(उष्माघात OR ""लू लागणे"" OR ""उष्णतेने मृत्यू"" OR ""ऊन लागणे"" OR ""हीट स्ट्रोक"" OR ""सन स्ट्रोक"" OR निर्जलीकरण OR ""रुग्णालयात दाखल"" OR ""उष्णतेने बेजार"") Maharashtra","अभिनेत्री स्वरा भास्करला डेंग्यूची लागण
डेंग्यूवरील उपचारासाठी स्वरा भास्करला रुग्णालयात दाखल
स्वरा भास्करच्या प्रकृतीच्या बातमीने चाहत्यांमध्ये चिंता निर्माण
बॉलिवूडची प्रसिद्ध अभिनेत्री स्वरा भास्करला रुग्णालयात दाखल करण्यात आले आहे. तिला डेंग्यूची लागण झाली असून याबाबत स्वतः अभिनेत्री स्वरा भास्कर हिने हॉस्पीटल मधील फोटो पोस्ट करत तब्येतीची माहिती दिली आहे. तिने इन्स्टाग्रामवर रुग्णालयातील तिच्या बेडवरून एक फोटो शेअर केला असून तिच्या प्रकृतीबद्दल माहिती दिली आहे.
अभिनेत्रीने इन्स्टाग्रामवर आपल्या चाहत्यांना तिच्या प्रकृतीबद्दल माहिती दिली आहे. स्वरा भास्करने रुग्णालयातील आपल्या बेडवरून इन्स्टाग्राम स्टोरीवर एक फोटो शेअर केला आहे. हा फोटो शेअर करताना तिने लिहिले, ""हे सर्व खूप वेगाने घडले. मला डेंग्यू झाला आणि मला रुग्णालयात दाखल व्हावे लागले!""
दरम्यान, 'बालिका वधू' फेम अभिनेत्री अविका गौर हिलाही डेंग्यूची लागण झाली आहे. तीही रुग्णालयात दाखल आहे. तिचा नवरा मिलिंद चंदवानी याने तिच्या प्रकृतीबाबत माहिती दिली आणि सांगितले की, आजारी असूनही ती काम करत होती. इन्स्टाग्रामवर शेअर केलेल्या एका व्हिडिओ संदेशात मिलिंदने सांगितले की, अविका गेल्या पाच दिवसांपासून तीव्र तापाचा सामना करत होती.
स्वरा भास्कर बॉलिवूड चित्रपटांमधील उत्कृष्ट अभिनयासाठी आणि सामाजिक-राजकीय मुद्द्यांवर आपली स्पष्ट मते मांडण्यासाठी ओळखली जाते. स्वरा भास्करला अलीकडेच तिचा पती फहाद अहमद याच्यासोबत 'पती पत्नी और पंगा' या रिअॅलिटी शोमध्ये दिसली होती.
सकाळ+चे सदस्य व्हा
शॉपिंगसाठी 'सकाळ प्राईम डील्स'च्या भन्नाट ऑफर्स पाहण्यासाठी क्लिक करा.
Read Marathi news and watch Live TV. Breaking news from Maharashtra, India, Pune, Mumbai, Politics, Entertainment, Sports, Lifestyle at SaamTV. Get Live Marathi news on Mobile. Download the Saam Tv app for Android and IOS.",0.5166666666666666
"Famous Actress Hospitalised: १०४ ताप, चेहरा थकलेला...; प्रसिद्ध अभिनेत्रीची तब्येत बिघडली, तातडीने केलं रुग्णालयात दाखल - Saam Tv",https://news.google.com/rss/articles/CBMi-AFBVV95cUxNcjZ1dmFlYWw5aGJoQUhqMUx0WWxTU2tVUktUTDh1Y0ZjN195SThZblNrYWdiUXJ4N1pzcDhIUmNiWld4MUlWeU1QTHpoSlE4b3E5ZjFnYzJMZnVjZXB6MW5HSVJnakhUNFRFVzA1d2xOZGJXbHlibVFtemV2NkxUSHl2S2labnlPSENUY2FNZlpHN3VlZU96ZjFoeExXRGFfVVA4dWdZN3hfb3draDJXSXdId3NmRjJfRmZyX2NBaUdPcDZNcVNzelIwT09LSlVuZzFrU1NqbDI3X1p4d19GYVd4elA4bVplaWNoTnUwWV9yNDIycldwX9IB-AFBVV95cUxNcjZ1dmFlYWw5aGJoQUhqMUx0WWxTU2tVUktUTDh1Y0ZjN195SThZblNrYWdiUXJ4N1pzcDhIUmNiWld4MUlWeU1QTHpoSlE4b3E5ZjFnYzJMZnVjZXB6MW5HSVJnakhUNFRFVzA1d2xOZGJXbHlibVFtemV2NkxUSHl2S2labnlPSENUY2FNZlpHN3VlZU96ZjFoeExXRGFfVVA4dWdZN3hfb3draDJXSXdId3NmRjJfRmZyX2NBaUdPcDZNcVNzelIwT09LSlVuZzFrU1NqbDI3X1p4d19GYVd4elA4bVplaWNoTnUwWV9yNDIycldwXw?oc=5,Saam Tv,2026-08-08T14:03:00+05:30,mr,Maharashtra,Pune,"(उष्माघात OR ""लू लागणे"" OR ""उष्णतेने मृत्यू"" OR ""ऊन लागणे"" OR ""हीट स्ट्रोक"" OR ""सन स्ट्रोक"" OR निर्जलीकरण OR ""रुग्णालयात दाखल"" OR ""उष्णतेने बेजार"") Maharashtra","Avika Gor: ‘बालिका वधू’ मालिकेतील आनंदी या भूमिकेमुळे घराघरात पोहोचलेली लोकप्रिय अभिनेत्री अविका गौर सध्या आजारी असून तिला डेंग्यूची लागण झाली आहे. प्रकृती बिघडल्याने तिला रुग्णालयात दाखल करण्यात आले आहे. अविकाच्या तब्येतीची माहिती समोर आल्यानंतर तिचे चाहते चिंतेत असून, ती लवकर बरी व्हावी यासाठी सोशल मीडियावरून प्रार्थना करत आहेत.
अविकाच्या प्रकृतीबाबत तिच्या पतीने माहिती दिली आहे. अविकाला शूटिंगदरम्यान प्रचंड ताप आला होता. मात्र, तब्येत ठीक नसतानाही तिने काम थांबवले नाही. तब्बल १०४ डिग्री ताप असतानाही तिने शूटिंग केल्याचे तिच्या पतीने सांगितले.
अविका गौर गेल्या काही काळापासून विविध प्रोजेक्ट्समध्ये व्यस्त आहे. ‘बालिका वधू’मधील बालकलाकार म्हणून तिने आपल्या अभिनयाची सुरुवात केली आणि आनंदीच्या भूमिकेमुळे तिला मोठी लोकप्रियता मिळाली. त्यानंतर तिने हिंदी टीव्ही मालिकांसोबतच रिअॅलिटी शो आणि इतर मनोरंजन प्रोजेक्ट्समध्येही काम केले आहे. २०२६ मध्ये ती ‘खतरों के खिलाड़ी 15’मध्येही सहभागी झाली होती.
लग्नानंतर अविका पती मिलिंद चंदवानीसोबत बँकॉकमध्ये शिफ्ट झाली आहे. मात्र, परदेशात राहूनही तिचे काम सुरूच आहे. ती कामासाठी सतत भारतात येत असते. सध्या ती रुग्णालयात उपचार घेत असून, तिची प्रकृती लवकर सुधारावी अशीच तिच्या चाहत्यांची इच्छा आहे.
सकाळ+चे सदस्य व्हा
शॉपिंगसाठी 'सकाळ प्राईम डील्स'च्या भन्नाट ऑफर्स पाहण्यासाठी क्लिक करा.
Read Marathi news and watch Live TV. Breaking news from Maharashtra, India, Pune, Mumbai, Politics, Entertainment, Sports, Lifestyle at SaamTV. Get Live Marathi news on Mobile. Download the Saam Tv app for Android and IOS.",0.5166666666666666
"Milk Price : गोकुळचा दूध उत्पादकांना मोठा दिलासा; गाय-म्हशीच्या दूध खरेदी दरात वाढ, नवे दर जाणून घ्या - Saam Tv",https://news.google.com/rss/articles/CBMiwgFBVV95cUxORXBpckwzZUN4NjJlc19JbFJjWFdjNE80S1FUZzY0eTN3b1hsVjRWeGFoeXE5eE5OaFRDd2EybVQ4RWN6b016QkRRaXJpQnk2aVk3VnAxRThmTEVxVVY4WUpGRkZ6YkJUaktJa0hQdGhPa1ZuTFJPVm1tcFBmOUZaSk5HWWh6Xy03ZHBFR1VxaWJlOG5aYk9Dc29QdHJFdWs0SV8zLXNET1F3VUhVVTVtaGRvUmxxcFFTQzNhUWhsRWE0d9IBwgFBVV95cUxORXBpckwzZUN4NjJlc19JbFJjWFdjNE80S1FUZzY0eTN3b1hsVjRWeGFoeXE5eE5OaFRDd2EybVQ4RWN6b016QkRRaXJpQnk2aVk3VnAxRThmTEVxVVY4WUpGRkZ6YkJUaktJa0hQdGhPa1ZuTFJPVm1tcFBmOUZaSk5HWWh6Xy03ZHBFR1VxaWJlOG5aYk9Dc29QdHJFdWs0SV8zLXNET1F3VUhVVTVtaGRvUmxxcFFTQzNhUWhsRWE0dw?oc=5,Saam Tv,2026-08-08T18:47:00+05:30,mr,Maharashtra,Pune,"(""हीट अॅक्शन प्लान"" OR दिलासा OR ""सावधानतेचा इशारा"" OR ""रेड अलर्ट"" OR ""ऑरेंज अलर्ट"" OR ""येलो अलर्ट"" OR ""मदत शिबिर"" OR ""नुकसान भरपाई"") Maharashtra","गोकुळकडून दूध उत्पादकांना मोठा दिलासा
म्हैस दूध खरेदी दरात १.५०, तर गाय दूध दरात १ वाढ
११ ऑगस्टपासून नवे दर लागू
दूध उत्पादकांना महिन्याला तब्बल ५ कोटींचा अतिरिक्त फायदा
म्हैस दूध खरेदी दर ५५, तर गाय दूध खरेदी दर ३७ प्रति लिटर
कोल्हापूर जिल्हा सहकारी दूध उत्पादक संघ अर्थात ‘गोकुळ’ने दूध उत्पादकांना मोठा दिलासा दिला आहे. गोकुळकडून म्हशीच्या दूध खरेदी दरात प्रतिलिटर १ रुपया ५० पैसे, तर गाईच्या दूध खरेदी दरात प्रतिलिटर १ रुपयाने वाढ करण्यात आली आहे. ११ ऑगस्टपासून हे सुधारित दर लागू होणार आहेत.
म्हैस आणि गाईच्या दूध दरात वाढ करण्यात आल्याने गोकुळशी संलग्न दूध उत्पादकांना महिन्याला सुमारे पाच कोटी रुपयांचा अतिरिक्त दर मिळणार आहे. ६ फॅट आणि ९ एसएनएफ गुणप्रतिच्या म्हशीच्या दूधाचा खरेदी दर ५३ रुपये ५० पैशांवरून ५५ रुपये, तर ३.५ फॅट आणि ८.५ एसएनएफ गुणप्रतिच्या गाईच्या दूधाचा खरेदी दर ३६ रुपयांवरून ३७ रुपये करण्यात आला आहे.
गोकुळच्या म्हैस दुधाच्या विक्री दरातही प्रतिलिटर दोन रुपयांची वाढ करण्यात आली असून, गाय दुधाच्या विक्री दरात कोणतीही वाढ करण्यात आलेली नाही. चाऱ्याची उपलब्धता, दूध उत्पादनातील चढ-उतार आणि वाढता उत्पादन खर्च लक्षात घेऊन दूध उत्पादकांना आर्थिक स्थैर्य मिळावे, यासाठी हा निर्णय घेण्यात आल्याचं गोकुळकडून सांगण्यात आलं आहे. गोकुळशी संलग्न सुमारे साडेसात हजार प्राथमिक दूध संस्थांच्या माध्यमातून दररोज १४ ते १५ लाख लिटर दूध संकलित केलं जातं.
सकाळ+चे सदस्य व्हा
शॉपिंगसाठी 'सकाळ प्राईम डील्स'च्या भन्नाट ऑफर्स पाहण्यासाठी क्लिक करा.
Read Marathi news and watch Live TV. Breaking news from Maharashtra, India, Pune, Mumbai, Politics, Entertainment, Sports, Lifestyle at SaamTV. Get Live Marathi news on Mobile. Download the Saam Tv app for Android and IOS.",0.5166666666666666
