title,url,source,date,language,state,district,search_term,full_text,relevance_score
‘Infection control becomes almost impossible’: four doctors on the NHS heatwave crisis - The Guardian,https://news.google.com/rss/articles/CBMihwFBVV95cUxQbmJxS1BIc19jeFdaRGVYT0U0WlVVN2h4emdULU1WcFF3NkdsNE9EZHRoQ1VNVkpnc3A1TzJJd3JySTdnY3JQR0ExTUR3R09ZeFFaTGt6RVJoZHcwWDc5QUNaSWdLX0hBdXFxakJ5eE1zMWpfclI1aDhhZzg1UDdBaUpOTl9WQ28?oc=5,The Guardian,2026-06-25T22:27:00+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","Hospitals in England are declaring critical incidents with radiotherapy machines, MRI scanners, cooling units and IT systems failing owing to the extreme heat.
Here four doctors describe their experiences on the frontline that they say feels unsafe and dangerous for patients amid the worst NHS heatwave crisis in years.
Resident doctor, north-west England
“On Wednesday, I led a ward round on an AMU [acute medical unit]. The office I started from was shared with eight other staff members, and the wall-mounted thermometer read 36C [96.8F]. No spare fan, and certainly no air conditioning, was available.
“Out of seven patients reviewed, four of them had adverse effects due to the extreme heat. These included falls due to postural hypotension, and multiple pre-renal AKIs [acute kidney injuries].
“Almost all received IV fluids to account for insensible losses in a ward lacking in air-conditioning or ventilation. Patients on medications known to cause issues in extreme heat had not been given specific advice on adjusting these during extreme weather and were admitted to hospital as a result.
“The emergency buzzer was then pulled for a seizing patient. Resuscitation was provided in a side room with poor insulation and no air conditioning. Sweat was falling on to the patient from the faces of frustrated staff members, with tempers flaring among colleagues.
“The climate crisis is already happening. It’s clear that the number of admissions due to extreme heat needs to be taken seriously. It increases strain on the physical infrastructure not built to cope, and staff who shouldn’t have to.
“Specialist doctors need to advise appropriately, the NHS needs to plan proactively and hospital departments need to support staff adequately.”
Consultant, Surrey
“This heatwave has pushed patient care into concerning territory. In the heat, corridor care has become more serious and more unsafe.
“We are now ‘reverse parking’ patients opposite one another because there is simply nowhere else to put them. Privacy and dignity disappear instantly. We are breaking bad news in corridors with other patients listening because there’s no room to go anywhere else.
“We are resuscitating patients in corridors after cardiac arrest. This should never happen in a modern health system.
“Bloods are taken, catheters inserted and examinations attempted in spaces that are too cramped to be safe, including for stroke patients who need urgent, careful assessment. Infection control becomes almost impossible.
“The people who suffer most in the heat are the elderly and frail, sadly many of them can spend up to 24 hours in a corridor. Some don’t even have a bed and sit through the night in a chair.
“In some hospitals, there are now five active ‘care corridors’. This heat has made an already dangerous situation even more urgent.”
Resident doctor, London
“I work on a ward for older people in London. This week it has been a real effort to keep our patients safe in the heat. The hospital is doing its best: the curtains are all closed to the sun, they have some portable air conditioning machines but despite this the wards are still unbearably hot.
“It has been difficult to keep our patients hydrated, and we notice that for some older people they really struggle to regulate their body temperature in the way younger people can. It seems to be a pattern that our wards aren’t designed for these temperatures.
“My colleague ended up prescribing intravenous fluids to many people on his ward on Wednesday as even with the best efforts of the staff, his patients could not drink enough, and having the curtains closed during the day can be confusing and worsen delirium for our older patients.
“This week has really brought it home to me: the reason we need to do something about climate change is because it is a health crisis. Ultimately, if we carry on burning fossil fuels it is those most vulnerable in society, like my older patients, who are suffering.”
Consultant, London
“During this heatwave, I have worked in three London hospitals so far, and all of them have been unable to maintain healthy working temperatures.
“Colleagues recorded temperatures of 35C in their office on Wednesday and there is real concern that cooling and even sufficient access to fans for vulnerable patients such as those with dementia and terminal illness, is insufficient.
“A colleague has an end-of-life patient on a ward, currently at 32C, with no access to a fan. Maternity units that are unable to maintain a reasonable temperature for mothers giving birth. On Thursday, our COWS [computers on wheels] stopped working because of the heat.
“There are many simple things that staff and institutions can do to mitigate the impact and advice that we are not adequately giving to the population to reduce the risk. What is coming in terms of future worse heatwaves is also predictable and requires urgent review of resilience.”",0.8500000000000001
French heatwave: three-year-old found dead in car - Euronews.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxPTnVDUGFpQ0tjS2VITGFfTGtrak1RbEdlaTM1X2k0b1lscWRfT3pKUVU0S190NmRLNFJHX1N2QndIQklFUTZQZFVGS1Y3R09MWmp5bjh3OG1XQWYxUkF3cTZrNFd4QjljYXhBZkRJZ0kyZXlqUGJKQXJvc2hoQ3V3TjNsZVExeUhQZkowSQ?oc=5,Euronews.com,2026-06-25T22:42:50+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","The boy climbed into the unlocked car while out of his parents' sight; his mother was hospitalised in shock. Two other children died in Carpentras on Monday.
A three-year-old boy has died after becoming trapped in a family car in Saint-Gratien, in the Val-d'Oise département north of Paris, as France swelters in record-breaking heat - the third such death this week, the Pontoise public prosecutor announced on Thursday.
The child had climbed into the car while his father believed he was napping. He was unable to get out because the child lock was engaged, the prosecutor's office confirmed, corroborating information from police and emergency services.
Public prosecutor Guirec Le Bras said the boy's parents and firefighters attempted to resuscitate him without success.
His mother had been sleeping with the couple's second child, aged 18 months, while the father worked in a garden shed, Le Bras added, citing the early findings of the investigation. The father had told his son to take a nap, but the boy was out of his parents' sight for at least 45 minutes before climbing into the unlocked car, whose child lock was nonetheless activated.
""He apparently shut himself in and became trapped in the vehicle before being found unconscious by his parents,"" the magistrate said.
The boy's mother was taken to hospital in a state of shock.
It is the latest in a series of child deaths linked to vehicles in extreme heat. On Monday, the bodies of two children aged two and four were discovered in a family car in a residential car park in Carpentras, in southern France. The pair are believed to have slipped away from their mother's supervision and become trapped inside.
Wednesday was France's hottest day since records began in 1947, with a national average temperature of 30°C. In Paris, the mercury reached 40.3°C - the fourth time in 150 years the capital has exceeded that threshold.
The exceptional heatwave continued on Thursday, with 72 départements on red alert and 17 on orange alert. Around 63 million people were expected to face temperatures above 30°C, according to AFP estimates, after France recorded its hottest night ever. Meteorological services have warned the heatwave — which began last week — could rival the catastrophic 2003 episode, which caused nearly 15,000 deaths nationwide.
The total number of heat-related deaths since last week remains uncertain.
Earlier on Thursday, Paris's first deputy mayor Emmanuel Grégoire reported a rise in mortality in the capital, without providing exact figures. ""I am solemnly calling on people to be careful for their own sake,"" he said, urging residents to stay out of the sun and avoid going outdoors during the hottest parts of the day.
The extreme temperatures are making it increasingly difficult for millions of people to keep their homes cool. The government estimates one in three French homes is ill-suited to extreme heat, prompting talk of a divide between ""a France of fans and a France of air conditioners."" Thousands of primary schools across the country have been forced to close, shorten their hours or adapt end-of-year exams.",1.0
Port Isabel vet warns pet owners about heat stroke risks this summer - KRGV,https://news.google.com/rss/articles/CBMimwFBVV95cUxOemZVcG1XaE9ScUtCcDlYSm1jby1OeVFjNVhZZ05uS3ptRk9ObG9jU3kyN3Uxc3ZfNGNRMnplX2YxdU1kZmxLZUtRbFZhTHhIMlV4ay11YVJhUWJucThZenhjbUw3bjlWOTNmTnRmYkpnWUJKMnVDSUVkZGdaQjZsWnc1Z2lyaG9tQUNJc1ZvdC1rajMyb2VsMmxFNA?oc=5,KRGV,2026-06-25T23:35:44+05:30,en,Andaman and Nicobar Islands,,"(heatstroke OR ""heat stroke"" OR sunstroke OR ""heat exhaustion"" OR ""heat-related death"" OR ""heat casualty"" OR ""heat fatality"" OR ""suspected heat death"" OR dehydration OR ""heat cramps"" OR ""heat illness"") Andaman and Nicobar Islands","Port Isabel vet warns pet owners about heat stroke risks this summer
Summer heat is putting pets at risk of heat stroke, according to a local veterinarian.
A vet at Port Isabel Animal Clinic says heat stroke cases spike this time of year. Common triggers include leaving pets in hot cars, no shade, no water, or too much time in the sun.
Symptoms to watch for are excessive panting, bright red gums, and vomiting.
Short-nosed breeds like pugs and bulldogs face an even bigger risk of overheating.
""Any of our short-nosed breeds, so like our pugs, Frenchies, bulldogs, things like that. Those guys tend to overheat a lot quicker than our other dogs,"" Dr. Chelsea Berning with the Port Isabel Animal Clinic said.
If a pet starts overheating, owners should bring them inside and use cool water on their body and paws right away.
Before taking a pet for a walk, owners should touch the pavement with the back of their hand. If it's too hot for a person, it will be too hot for a pet's paws.",0.8333333333333333
Scotland officially in heatwave as hottest day of year confirmed - BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBPd2tyTHc4b0xLbTc2ZVFHZ1VEV3BMUHRsUWh5MG9mZDFVUERtcV8wLW5VS01zWmJKekYwdnlmT1BjZTBtNWJZajM4aDh0WWs1Y01ZOEZiZnRYcTdo?oc=5,BBC,2026-06-25T17:38:52+05:30,en,Andaman and Nicobar Islands,,"(""mercury soars"" OR ""mercury crosses"" OR ""temperature soars"" OR ""record temperature"" OR ""all-time high"" OR ""degrees Celsius"" OR ""maximum temperature"" OR ""hottest day"" OR ""temperature crosses 40"" OR ""temperature crosses 45"" OR ""temperature likely to rise"") Andaman and Nicobar Islands","- Published
Scotland has experienced its hottest day of the year, with temperatures peaking at 31.2C in Threave, Dumfries and Galloway.
The sweltering conditions mean that Scotland is officially experiencing a heatwave - with 25C and above recorded for three consecutive days.
In the Borders, gritters have been deployed to spread sand over the main roads to try and reflect heat and cool the surface.
Soaring temperatures across the UK have led to some of the hottest June nights on record.
However conditions are likely to take a turn, as yellow thunderstorm warnings are in place in the north of Scotland between 15:00 and 23:59 on Thursday.
The Met Office issues a separate thunderstorm warning covering the whole country from midnight on Friday.
Drumalbin in South Lanarkshire and Auchencruive in South Ayrshire also hit the 30C mark, while 29C was recorded at Tyndrum in Stirlingshire.
Scottish Borders Council deployed gritting lorries to spread sand over main roads to try and reflect heat and cool the surface.
The local authority said it had closed the B6362 Lauder to Stow road due to heat damage after temperatures of 52C were recorded.
David Robertson, chief executive at Scottish Borders Council, said the local authority was not ""being daft"", but instead trying to protect the road surface.
""We're providing a fine layer of sand to prevent the melting of the tar.
""What we're seeing is ambient road temperatures at the height of the heat up in the 40s, and that causes the tar on the roads to melt.""
Gritter lorry driver Alistair Fisher said: ""We do get funny looks from people when they see us out and about gritting when it's so hot but it's needed to protect the roads.
""It's great to be out and about on a day like this but it's hot in the cab because there's no air con in a gritter.""
Meanwhile, Dumfries and Galloway Council has asked residents to ""spare a thought for our frontline staff"" wearing personal protective equipment in the heat.
Police Scotland issued reminders about water safety and the risk of drowning, external from ""cold water shock"".
However, anglers in the south have been warned about the risks to fish when rivers warm up.
The River Tweed Commission (RTC) called for a stop to fishing salmon and trout when water temperatures reach 20C, external because dissolved oxygen levels puts fish under stress, meaning even careful catch-and-release angling can kill them.
Jamie Stewart, from the River Tweed Commission, said: ""Wild Atlantic salmon are already facing unprecedented pressures from climate change, habitat loss and poor marine survival.""
BBC Scotland weather presenter Gillian Smart said the heat would peak as southeasterly winds pull in intensely hot, humid air from the continent.
However, she warned of a ""thundery breakdown"" on Thursday afternoon.
""A weather front to the northwest will interact with the very warm air to produce heavy, thundery showers across the Western Isles, the Northwest Highlands and the Northern Isles,"" she said.
""These thundery showers will feed southwards across the country, torrential in places, and bringing a risk of hail.""
The Scottish Environment Protection Agency (Sepa) put six flood alerts in place across the north of Scotland.
The agency said flooding from surface water and small watercourses is possible on Thursday evening and Friday due to heavy rain and thunderstorms in Caithness and Sutherland, Easter Ross and the Great Glen and Orkney.
Findhorn, Nairn, Moray and Speyside, Skye and Lochaber and Wester Ross are also covered by an alert.
Parts of England and Wales have a rare red warning for extreme heat in place and it is expected to be another scorching day for most of Europe.
Temperatures will once again be around 12 to 15C above average across northern Spain, France and into Belgium and the Netherlands.
Scotland 'set up for climate of the past'
Dr Vikki Thompson, climate scientist at the University of Edinburgh, said the current heatwave had come in from the tropical Atlantic.
She said the maritime origins of the heat meant it felt much hotter than previous years.
Dr Thompson said the changing climate meant temperatures would continue to increase in future years and adaptations would have to be made to existing infrastructure.
""This year and next year are expected to be particularly hot because of the conditions in the tropical Pacific, it is priming the UK and Europe for more heatwaves this year,"" she said.
""The infrastructure in Scotland is set up for the climate of the past and not the climate of the present and the future that we are seeing.
""So we will start to see buildings, infrastructure like hospitals and schools, struggling to keep the indoor temperature down to safe levels.""",1.0
Thunderstorm warning issued as Scotland swelters amid heatwave - STV News,https://news.google.com/rss/articles/CBMitgFBVV95cUxNY21hYXlwVy1yTHo1OU9zMWNEODNFOTYwMXo1UEpmU25DeG1GQTlaUWc5NDhVbjJoZHdhZkNsTm1GOTVzSjZQdXdMazJ5Uklac3k3WU5uZVRsd21nNUowX0c1azRfZnViSk9ZeGNDYVBvN2Jha0ZvTU5UTUJDNXItcDR6S2pIX0xIWmRRcXU0M09jWkVHazFkbHFGU2hIdG9LVVdPVTNfenNTMDFLbTZwamlqVjVJZw?oc=5,STV News,2026-06-25T20:50:48+05:30,en,Andaman and Nicobar Islands,,"(""mercury soars"" OR ""mercury crosses"" OR ""temperature soars"" OR ""record temperature"" OR ""all-time high"" OR ""degrees Celsius"" OR ""maximum temperature"" OR ""hottest day"" OR ""temperature crosses 40"" OR ""temperature crosses 45"" OR ""temperature likely to rise"") Andaman and Nicobar Islands","Parts of Scotland are set to be battered by thunderstorms on Thursday, despite the country experiencing soaring temperatures amid a heatwave.
The Met Office issued a yellow weather warning for parts of the Highlands, Orkney, Argyll and Bute and Moray, which will come into effect from 3pm.
It is expected that downpours will continue until midnight.
It comes despite soaring temperatures across the country, with Scotland expected to experience the hottest day of the year.
The forecaster warned heavy rain could lead to flooding in some places, with up to 50mm of rain falling over a three-hour period.
Large hail measuring 2-4cm in diameter could also fall during the weather warning, as well as lightning strikes and strong winds.
Drivers have been warned to take care on roads due to the risk of flash flooding and spray, while public transport could be disrupted.
The Met Office added that there is a chance of power cuts in some areas.
A further weather warning for thunderstorms has also been issued for the mainland, Western Isles and Orkney, which will come into force at midnight on Friday.
The alert will be in place for 24 hours.
Follow STV News on WhatsApp
Scan the QR code on your mobile device for all the latest news from around the country",0.8333333333333333
Homes left without water on hottest day of the year - Wales Online,https://news.google.com/rss/articles/CBMikAFBVV95cUxQRzJiaEdZQkMyRWhNZjV3MUVranFRTWNVMDZ1Um9IaDlOdjlSeDJmT2tLdC1ZZmtKd2dlVkNRX2ZtbDdWcW53Q2lkLUYtaHQ3Y2RLdWZnM3Vpb2EtZnd4MlBfZ29wX0Z6TjdMcFdZX2gzaFNKYWVTb3luRzdqVWJWc3NhNUtIemxNa2UtbFRXUVnSAZYBQVVfeXFMTVFJa0FlTVJkbnpydlVyZXhja3NzdF9Xa3Q4X0tTRnJpVzdKamNDWEFSWG9GdVBpVy03dU95LXk5Ml9JdlZEelB0MW85ekpYUnNmY0hCblpncEZkVk82X2ZVckd1bjlLbFlxdEtaUGZxc3pQRWE1YXpuWHdwVTVmbXB1Q2prNVRsb08wZFI5blg0R0VRZndR?oc=5,Wales Online,2026-06-25T23:41:00+05:30,en,Andaman and Nicobar Islands,,"(""mercury soars"" OR ""mercury crosses"" OR ""temperature soars"" OR ""record temperature"" OR ""all-time high"" OR ""degrees Celsius"" OR ""maximum temperature"" OR ""hottest day"" OR ""temperature crosses 40"" OR ""temperature crosses 45"" OR ""temperature likely to rise"") Andaman and Nicobar Islands","Homes left without water on hottest day of the year
Welsh Water apologised for any inconvenience caused
People living in a Welsh community have reported being without water on what is expected to be the hottest day of the year.
The Welsh Water website states a pump failure is affecting water supplies in Treforest.
""We are aware that customers in this area may have no water or low pressure,"" it reads.
""We expect all supplies to be fully restored by late morning.
""We apologise for any inconvenience caused.""
A Treforest resident posted on Facebook: ""I’ve woken up to dirty water from both my hot and cold tap, obviously from all taps in the house...Not ideal with today’s weather."" Get the latest Ponty news first by signing up to our newsletter here.
According to Welsh Water customers in Glynneath and Barry may also be affected by discoloured water.
The water company said it was a short outage which affected a relatively small number of properties for around 30 minutes.
Other alerts affecting water supplies as of 10am on Thursday include burst water mains in Lampeter, Llechryd, and Bontddu. Emergency work is also taking place in Caldicot.
Overnight essential maintenance works may also impact supplies to parts of Caerphilly, Pentrebane in Cardiff, Margam, and Neath.
Get daily breaking news updates on your phone by joining our WhatsApp community here. We occasionally treat members to special offers, promotions and ads from us and our partners. See our Privacy Notice.",0.5166666666666666
Suffolk braces for hottest day of the year as temperatures push towards 40C - East Anglian Daily Times,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPdGIyNElOOUx3V2pKeVJsUGNtdUx1SkVnNE15MllGbTZfZ0Y1ZFpmbEhLNnNjaTc5TTUxVURXY1IzMGZHMGtuazhnVEZLM1lXT01pUTBianVFNjNTRjdTWUxJSzF0RnlmTU53ZFFlaEVJcUhfYnpxdDNHbWxkTnZaZnZlaTRTOWdiS01v?oc=5,East Anglian Daily Times,2026-06-25T17:12:00+05:30,en,Andaman and Nicobar Islands,,"(""mercury soars"" OR ""mercury crosses"" OR ""temperature soars"" OR ""record temperature"" OR ""all-time high"" OR ""degrees Celsius"" OR ""maximum temperature"" OR ""hottest day"" OR ""temperature crosses 40"" OR ""temperature crosses 45"" OR ""temperature likely to rise"") Andaman and Nicobar Islands","After days of relentless heat and health alerts, Suffolk is bracing for a surge that could push this week’s swelter to a whole new level.
The county has seen days of scorching temperatures as sunshine brought highs above 37C.
However, Suffolk will not be cooling down any time soon as Friday is set to break records.
Temperatures are expected to be very high across parts of the East of England, including something, with an amber weather warning remaining in place.
READ MORE: Live updates as schools remain closed due to heatwave (and it's going to get hotter)
Ipswich, Stowmarket and Debenham are expected to be the hottest with highs of 38C.
Bury St Edmunds, Sudbury, Beccles and Newmarket will be ever so slightly cooler with temperatures peaking around 37C.
On the coast, Lowestoft is predicted to reach 34C with further down Aldeburgh will be 36C with Southwold and Felixstowe at 37C.
It comes after the UK provisionally set a new June temperature record on Wednesday after 36.1C was recorded at Gosport in Hampshire.
A spokesman for the Met Office said: ""In terms of whether this will be the hottest day of the year in Suffolk, Friday is likely to be among the hottest days seen so far in 2026 in this region, given that the focus of the most intense heat shifts eastwards during the end of the week.
""However, it is important to note that there remains some uncertainty in the exact peak values, and small changes in cloud cover or early thunderstorms could influence how high temperatures ultimately rise.""",1.0
"Heavy rain, thunderstorms disrupt traffic in Kolkata as IMD issues red alert for South Bengal - Daily Pioneer",https://news.google.com/rss/articles/CBMivwFBVV95cUxORWlfb1gtVUx6OFl1b0hPWDhXZTRWQ1FmUi1qek8wRWY5OXJ2dFNCNlp1TmVOdkpqYUlQTkFJajg0ME5TNU9LZVJ3TGZWUzhBbC1lZ0gzLUF5S18tVmRZT2plYWZvbzlxd0tTaW1JV1JSOTdYcUhUQVpQZjhYc0EtRFo0c3VzX3dWdU05cHltR19rUkxmWmNjSFhLUHFVQldDNTh4ZXZoM3ZMTUdQT3M4SnBvSEJpYW1UV09ZOFM0QQ?oc=5,Daily Pioneer,2026-06-25T17:51:36+05:30,en,Andaman and Nicobar Islands,,"(""heat advisory"" OR ""heat action plan"" OR ""heat alert"" OR ""IMD warning"" OR ""IMD alert"" OR ""red alert"" OR ""orange alert"" OR ""yellow alert"" OR ""NDMA advisory"" OR ""cooling shelter"" OR ""relief measures"" OR ""heat compensation"" OR ""severe weather warning"") Andaman and Nicobar Islands","Heavy rain, thunderstorms disrupt traffic in Kolkata as IMD issues red alert for South Bengal
Heavy rainfall accompanied by thunderstorms disrupted normal life and traffic movement across Kolkata and adjoining districts on Thursday, after the India Meteorological Department (IMD) issued a red alert for parts of South Bengal.
Continuous rain led to waterlogging in several low-lying areas of the city, slowing vehicular movement and causing congestion on major roads during peak hours. Commuters faced delays as visibility dropped and traffic flow was severely affected in multiple pockets.
The IMD warning indicated the possibility of intense thunderstorm activity, lightning, and gusty winds across South 24 Parganas, Kolkata, Howrah, and nearby districts. Authorities have advised residents to remain cautious and avoid unnecessary travel during periods of heavy rainfall.
Meteorologists said the weather system is part of an active monsoon phase over the region, which is likely to continue for the next few days with intermittent spells of heavy rain and thunderstorms.
Emergency services and civic authorities have been put on alert to manage waterlogging situations and respond to any weather-related incidents. Citizens have been urged to follow official advisories and take necessary precautions, especially in flood-prone and low-lying areas.",1.0
Rain to continue in Himachal till July 1; yellow alert issued for 5 districts - The Tribune,https://news.google.com/rss/articles/CBMivAFBVV95cUxPLWpjWlc4blk1YjFZRjc4UWtUVTVxbHNITTJVaWF0V01tZ2M2VlRTaTFaVF9ucTdhdFFhQ1ZoQ1hDdFNwMzRQc2tzWnJMdlZEZXBQeGtyMmw3d2MwNTh4ME42UVdiZTgtekVydXpCRXNvY0lzVk5WOTZ0YU96X1JQa2IzYVR2RnpTalpnakxRTFpaSl9WWFRWa1RSRUJvY0ZJVC1MLW94RTRKTGlzQzVFVElEaC1uWHhJNmY5YdIBwAFBVV95cUxOTWpVZU14bjNsY2FHWTl1YTFQT0hKVEdjMGJYWWhxUDBfbDhfZzRJaW4zeFJiaG5KdHVSLXJfZmpRc1gzTHdSTG1Pci1wUVAzZkI1UzlmbElGTW9fNDg0Ui1leWd1c3JJWlVEQkRjZjBiS0pKbnRLM0RDNkVQMnZTRlpiNkhiSlVYVmJsYnkya29LUk9adlJlVEh4b29ncnVnMk5FaW9fY29ad0c2NDRJbVdVbXk2Ni1OQmYxQkdSZ0c?oc=5,The Tribune,2026-06-25T22:16:43+05:30,en,Andaman and Nicobar Islands,,"(""heat advisory"" OR ""heat action plan"" OR ""heat alert"" OR ""IMD warning"" OR ""IMD alert"" OR ""red alert"" OR ""orange alert"" OR ""yellow alert"" OR ""NDMA advisory"" OR ""cooling shelter"" OR ""relief measures"" OR ""heat compensation"" OR ""severe weather warning"") Andaman and Nicobar Islands","Rain to continue in Himachal till July 1; yellow alert issued for 5 districts
Despite the wet spell, no significant change is anticipated in maximum and minimum temperatures across the state over the next few days
Himachal Pradesh is likely to experience continuous rainfall till July 1, with the State Meteorological Centre issuing a yellow alert for several districts up to June 29. The alert for June 26 covers Shimla, Kullu, Kangra, Mandi and Chamba districts, where light to moderate rainfall accompanied by thunderstorms, lightning and gusty winds is expected at isolated places.
Despite the wet spell, no significant change is anticipated in maximum and minimum temperatures across the state over the next few days. Meteorologists have indicated that temperatures are likely to remain within the normal range.
During the past 24 hours, light to moderate rainfall was reported at isolated places, while most parts of the state remained dry. Both maximum and minimum temperatures stayed close to normal levels. Maximum temperatures across Himachal ranged between 18°C and 38°C, while minimum temperatures varied from 6°C to 28°C.
Among major towns, Shimla recorded a maximum temperature of 25°C, Dharamshala 33.1°C, Manali 25.2°C, Solan 29°C, Kangra 32.9°C, Mandi 34.2°C and Nahan 33.3°C. The highest maximum temperature in the state was recorded in Una at 37.2°C, while the lowest minimum temperature of 6.6°C was reported from Kukumseri in Lahaul and Spiti district.",0.8333333333333333
"Rains to intensify in state after three days, orange alert issued - Kerala Kaumudi",https://news.google.com/rss/articles/CBMitwFBVV95cUxNU2gxT2pqWHZIWjFYcEJ6ZU15SXlEcFRrN1pCbHhOODd4REhzOXdjWnMyOENlbm9rNFFHdFZHOWhSQzZEbEdpZ2pabGVmMk55NHg0VnpucGtlQkY2eTRqS1ZnQzY3VzMzaVJQcE1UYVQwN3BteGlzY1NrRXFxeWJ6VDZPVm83QVF6dVhsQ3pVc0FzU3J3U3JEUEV2Q2w4RzF5SnUzM3FVdkVubVk0b3RKbmZ2Ul9wV00?oc=5,Kerala Kaumudi,2026-06-25T16:03:24+05:30,en,Andaman and Nicobar Islands,,"(""heat advisory"" OR ""heat action plan"" OR ""heat alert"" OR ""IMD warning"" OR ""IMD alert"" OR ""red alert"" OR ""orange alert"" OR ""yellow alert"" OR ""NDMA advisory"" OR ""cooling shelter"" OR ""relief measures"" OR ""heat compensation"" OR ""severe weather warning"") Andaman and Nicobar Islands","THIRUVANANTHAURAM: Although the rains have subsided in the state, the India Meteorological Department (IMD) has said that the rains will intensify after three days. Orange and yellow alerts have been issued in various districts from June 27. Orange alert has been issued for Kannur and Kasaragod on June 29.
The possibility of very heavy rain has been predicted in isolated places. The IMD has defined very heavy rainfall as rainfall ranging from 115.6 mm to 204.4 mm in 24 hours. Rainfall accompanied by thundershowers is expected. Rains are expected to be accompanied by thundershowers.
Yellow Alert
27/06/2026: Malappuram, Kozhikode, Wayanad, Kannur, Kasaragod
28/06/2026: Pathanamthitta, Alappuzha, Kottayam, Idukki, Ernakulam, Thrissur, Palakkad, Malappuram, Kozhikode, Wayanad, Kannur, Kasaragod
29/06/2026: Idukki, Ernakulam, Thrissur, Palakkad, Malappuram, Kozhikode, Wayanad
Isolated heavy rain is likely. The IMD defines heavy rain as a situation where 64.5 mm to 115.5 mm of rain is expected in 24 hours. The IMD has informed that fishing should not be done on the Kerala-Karnataka-Lakshadweep coasts from June 27 to 29.",1.0
