title,url,source,date,language,state,district,search_term,full_text,relevance_score
"Warm Nights, Intense Heat Waves Likely Across India Over Next Two Months: IMD - The Quint",https://news.google.com/rss/articles/CBMikwFBVV95cUxQOVdsMWxZRlVxOFFqV1VrY3RrOGhPQ041ZThha2FZQnlsam81ZnNPNldRcGZCcHFHcXVsakpaNURMQ09SZzkwSGZNTWdtQk93NDlnZEpEWnlqMHpRQkNVZ1lfZ2hBaWU3U01SMFdWa2h4Nk0wOU53MDZIYjYwQkQxTEoxRnpEWkZLS2xWaXhFNl85WTTSAaABQVVfeXFMUDhvUXhMbDlUSmdpQ3VJQ0szbk9Mc3RGRkgtblF4cV9PS0hxTUVNb2xtS2R2NDVLREt3a0VfaDRCSWFfYmtnd3l1elc1SWp2eGZpNE1Xb1Znd2RKeUpUV1pNVS1xMmtuN01MSkFQZW9meF9uVDAya1pUZGJQbVZ2dWJlMjMwaGg2U1dwQ3ZncDRFUlBkOVRzY3d1OW40NjZHMA?oc=5,The Quint,2026-04-02T09:54:38+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","The India Meteorological Department (IMD) has forecast an increase in heatwave days and above-normal minimum temperatures across most parts of India for the summer of 2026.
According to The Indian Express, the IMD’s summer outlook indicates that the period from April to June will see “above-normal” heatwave days in east, central, northwest India, and the southeast peninsula.
The forecast also highlights that minimum temperatures are set to be “above-normal” across most of the country, except for Telangana, neighbouring Maharashtra, and some pockets of west Madhya Pradesh and adjoining Rajasthan.
“During the season, above-normal minimum temperatures are likely over most parts of the country except some regions of Maharashtra and Telangana where normal to below normal minimum temperatures are likely,” the IMD stated.
As reported by Hindustan Times, the IMD attributes the expected warmer nights to increased rainfall, thunderstorm activity, and persistent cloud cover, which trap heat radiating from the Earth’s surface.
The agency warns that while daytime temperatures may be milder, the combination of high night temperatures and more frequent heatwaves could still pose significant health risks, especially for vulnerable populations.
Analysis showed that above-normal maximum temperatures are expected in several parts of eastern and northeastern India, as well as some areas of northwestern India and the southern peninsula. However, maximum temperatures are likely to be normal to below normal in the remaining regions, with the IMD attributing this to the prevalence of thunderstorms and cloudy conditions.
Coverage revealed that March 2026 recorded the second warmest minimum temperatures in 126 years, indicating a continuing trend of warmer nights.
The IMD also warned that heatwave spells in April could extend up to nine days in some regions, longer than the climatological average of three to five days.
At the end of its update, the IMD cautioned that intense and widespread thunderstorm activity is likely in different parts of April, and people working outdoors should exercise caution. The agency also noted that El Niño conditions are likely to develop later in the monsoon season, which could further influence weather patterns.
“We expect western disturbances to continue affecting various parts of the country in April. In addition, thunderstorms, above-average rainfall and the prevalence of cloudy sky conditions will keep the maximum temperatures range between normal and below this summer season,” said IMD Director General Mrutyunjay Mohapatra.
Note: This article is produced using AI-assisted tools and is based on publicly available information. It has been reviewed by The Quint's editorial team before publishing.",0.8500000000000001
Heavy Rains Bring Relief from Scorching Heat in City - thelivenagpur.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxNdmlaZGlJT3BQbzVjOG1xSG5sNHlPb0laSG5JaENseVR0V2FDdGFqeXFLMlVKV2Rqa1NEYkJHQm1VOGQ4clpwQk55Qk1WWHVodVpwbVNSY0F3eE5CZXFzYTJlYzI1RUg3S0VFdm1odzluNmkzUF9LWkc5dzVCUXdtNlIxcDduSEl3cWpDbUJyUE9jTlB0?oc=5,thelivenagpur.com,2026-04-02T09:45:55+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","It was a day of intense heat followed by brisk, monsoon-like showers late at night. While the Meteorological Department had issued an alert for strong winds and rain, most districts in Vidarbha recorded a rise in temperatures. Despite cloudy conditions throughout the day, Nagpur’s maximum temperature increased by 2.6 degrees to 39.2°C.
However, conditions changed Suddenly by night. After around 10:30 pm, several parts of the city witnessed heavy rainfall accompanied by thunder and lightning. By 11:30 pm, Nagpur recorded 11.2 mm of rain.
Strong winds led to power outages in some areas but provided much-needed relief from the humid conditions that had built up during the evening. Gusty winds caused tree branches to sway dangerously, while waterlogging disrupted traffic in several parts of the city.
Other districts in Vidarbha continued to experience intense heat during the day. Amravati recorded the highest temperature at 40.6°C, followed by Wardha at 40.5°C. Maximum temperatures in other areas included Brahmapuri (40.2°C), Akola (40.1°C), Washim (39.6°C), and Chandrapur (39.0°C). Heatwave-like conditions were felt across many districts in the afternoon.
According to the Meteorological Department, an alert for rain and strong winds remains in place across Vidarbha on Thursday. The weather change is attributed to an upper air cyclonic circulation over Madhya Pradesh and a trough extending from Bihar through Jharkhand and Chhattisgarh to Madhya Maharashtra.
Thunderstorms with strong winds are likely to continue over the next four days, and farmers have been advised to remain cautious.",1.0
Brace for Impact: India Faces a Brutal Heatwave from April to June - indiaherald.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNY2lwNXdHRVFnazRXbGk1enByN3V1d0o5Y25RUnJFZmNEbFFMUkFXblBvTGg2MlV0dmg0NDdIT2FWOWd3a0lvN0VXQ0gwOTRDV3RzbFc1d1EyZDVvTGUxZ0hGcEI0a2xjNDVQSDl3MHZ3aTlUTWhjYWF1S2Q3b2JYa2d2QXFjN1hxbHFCMmtuaXhiaVFXcERTWDZnWE1POEduQXJHNU1SVzNoWUVfeUJ0ZWlSNzY2WGdv0gG4AUFVX3lxTE1jaXA1d0dFUWdrNFdsaTV6cHI3dXV3SjljblFSckVmY0RsUUxSQVduUG9MaDYyVXR2aDQ0N0hPYVY5Z3drSW83RVdDSDA5NENXdHNsVzV3UTJkNW9MZTFnSEZwQjRrbGM0NVBIOXcwdndpOVRNaGNhYXVLZDdvYlhrZ3ZBcWM3WHFscUIya25peGJpUVdwRFNYNmdYTU84R25Bckc1TVJXM2hZRV95QnRlaVI3NjZYZ28?oc=5,indiaherald.com,2026-04-02T03:04:08+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","india is staring at a long, punishing summer—and it’s arriving with a warning. The india Meteorological Department (IMD) has predicted that temperatures from april to june will be higher than usual across the country, with intense heatwave conditions expected in several regions. This isn’t just about discomfort—it’s about a season that could push limits, strain resources, and impact daily life in serious ways.
What the Forecast Really Means
1. Above-Normal Temperatures Nationwide
The IMD’s outlook is clear: most parts of india will experience temperatures above seasonal averages. This means longer, harsher days and very little relief, even at night.
2. Heatwave Hotspots Identified
States like Odisha, West Bengal, tamil Nadu, Puducherry, Andhra Pradesh, Gujarat, Maharashtra, and karnataka are expected to bear the brunt, with frequent and intense heatwave spells.
3. What Is a Heatwave, Really?
It’s not just “hot weather.” A heatwave occurs when temperatures rise significantly above normal levels, often becoming dangerous to human health, especially for children, the elderly, and outdoor workers.
4. Daily Life Will Feel the Pressure
From rising electricity demand to water shortages and health risks, the ripple effects of extreme heat are wide-reaching. Productivity drops, tempers rise, and routines are disrupted.
5. A Warning, Not Just a Forecast
This prediction is more than data—it’s a call to prepare. Hydration, avoiding peak heat hours, and taking precautions will be crucial in the months ahead.
The Bigger Picture
This isn’t just another indian summer—it’s a reminder of how climate patterns are intensifying. As temperatures climb higher each year, adapting to extreme weather is no longer optional. It’s essential.",0.8500000000000001
Health experts warn of increased risks during heatwave - The Morning,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9ZRFZ5RkNpZ3RiRTExVmcwY2VsUzBEOUJQSVhsSVBuT2Nwa09rZzdUdmVuWVVZMHdvWVRxbWFwZGZ2Z0VXdkFqd2NOT3hPMDZnZHVPa2dFWXRMcFl4bllzUjg4ZlpFdw?oc=5,The Morning,2026-04-02T10:57:37+05:30,en,Andaman and Nicobar Islands,,"(heatwave OR ""heat wave"" OR ""severe heatwave"" OR ""extreme heat"" OR ""heat spell"" OR ""scorching heat"" OR ""blistering heat"" OR ""sweltering heat"" OR ""hot winds"" OR loo OR ""hot loo winds"" OR ""intense heat"" OR ""unbearable heat"" OR ""deadly heat"" OR heat OR ""weather forecast"" OR ""weather update"" OR ""weather alert"" OR ""IMD forecast"" OR ""IMD prediction"" OR ""IMD alert"" OR IMD OR ""rising temperatures"" OR ""temperatures expected to rise"" OR ""relief from heat"" OR ""respite from heat"" OR ""heat respite"" OR ""respite from scorching heat"") Andaman and Nicobar Islands","Health officials have issued warnings to the public about the dangers of extreme heat, especially for individuals with chronic conditions such as diabetes, heart diseases, and cancers.
Consultant-Community Physician Dr. Inoka Suraweera emphasized that exposure to high temperatures can lead to heat cramps, exhaustion, and even fatal strokes, potentially worsening health conditions or causing death.
She urged vulnerable groups to stay hydrated, avoid alcohol, coffee, and sugary drinks, and be cautious when working outdoors.",1.0
