title,url,source,date,language,state,district,search_term,full_text,relevance_score
Amroha News: सरकारी नौकरी लगवाने के नाम पर तीन से ठगे 13 लाख रुपये - Amar Ujala,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQYVFRbS1HSVJkTm50aktjYTNTY3NMUWZsRTRVM1dUSzBDRFFXd3VuRUoyRE1pZDBxSW9TSW03YXpnYngwYW5kb2Z4blA1eXFMT3otWDZ4TnhUZTl1ZHlsaHItTTRXd25KenBiZTB6ZnNsb3BneURRUjFGVTJ5cFRNUFRHeTZ3ai0zZlRiTjFZUFY0ZlV1Wk9wUDVuT1JZVzd5cjFLUFA5QmFaemZ0S3dJdUlPR1AyTm5YQ0dYSlZvM1U4LVI3c0RTT1FscVZlSnI2ZGNiT1l0b2I4eFFIUTJjTTRoNGY3bU9NWkNFb0hMekNDZ9IB9wFBVV95cUxQZlVjcGEyd0dBSnlSWlVlTk02X2J6QWFGT3diOTBQYmtmS1Znd2dZczg0c2lOT2VDWXAtbDFXTi1nWGVxY3pGdmRmaWVxSXlaMU9rQ0Y2NXl2R2RsR1RtVENZWmhtakpveVduU3M4aWR2RzRyWXgxNGJOeGRQM2dsdU1YOVJSalExRnU4QVJEeWJpclhBVjR4MF8xWXdmSU5McVZOTk1QZUktMW43T2pwUzYycFpaX3Znd1VwYVplVks1djlwdkJHbGxuQV90cklKaVpfZEJJSDd3X2xfb0tUNEd5UmJKbXRNTmtIRVRWd0hkanZaUU1N?oc=5,Amar Ujala,2026-07-05T01:04:50+05:30,hi,Ladakh,Kargil,लू (Leh OR Kargil) Ladakh,"{""_id"":""6a49605a55049327840c2a39"",""slug"":""three-people-defrauded-on-the-pretext-of-securing-government-jobs-jpnagar-news-c-284-1-smbd1015-167464-2026-07-05"",""type"":""story"",""status"":""publish"",""title_hn"":""Amroha News: सरकारी नौकरी लगवाने के नाम पर तीन से ठगे 13 लाख रुपये"",""category"":{""title"":""City & states"",""title_hn"":""शहर और राज्य"",""slug"":""city-and-states""}}
Amroha News: सरकारी नौकरी लगवाने के नाम पर तीन से ठगे 13 लाख रुपये
संवाद न्यूज एजेंसी, अमरोहा
विज्ञापन
खबरें लगातार पढ़ने के लिए अमर उजाला एप डाउनलोड करें
या
वेबसाइट पर पढ़ना जारी रखने के लिए वीडियो विज्ञापन देखें
अगर आपके पास प्रीमियम मेंबरशिप है तो
गजरौला। सरकारी नौकरी लगवाने के नाम पर तीन युवकों सेे 13 लाख रुपये ठग लिए। पुलिस ने कोचिंग सेंटर संचालक की तहरीर पर आरोपी के खिलाफ रिपोर्ट दर्ज की है।
नगर के कवि नगर मोहल्ला निवासी ओम प्रकाश सिंह का कहना है कि वह दो दशक से कोचिंग सेंटर चलाते हैं। फरवरी-26 में दिल्ली से वापस लौटते समय उनकी मुलाकात रोडवेज बस में थाना क्षेत्र के गांव खादगुर्जर की मढ़ैयों निवासी दीपक कुमार से हुई। उसने खुद को एयरफोर्स का अधिकारी बताया। पोस्टिंग का स्थान 54 एएसपी एयरफोर्स स्टेशन गुरुग्राम बताई। उसने कोचिंग का कार्ड ले लिया। कुछ दिनों बाद फोन कर बताया कि आर्मी में स्टोर कीपर एवं चालक पद के लिए लद्दाख में डायरेक्ट मेडिकल के आधार पर भर्ती चल रही हैं। उसने अधिकारियों सेे अच्छी साठगांठ बताते हुए कई की नौकरी लगवाने की बात कही। वह कोचिंग सेंटर पर भी आकर मिला। उसकी बातों में आकर अपने साढ़ू के दो बेटों, दोस्त के दामाद का फाइनल सलेक्शन कराने के नाम पर तीनों सेे 13 लाख रुपये ले लिए। मेडिकल कराने के लिए लेह लद्दाख ले गया। 11 मई-26 तक नियुक्ति पत्र मिलने की बात कही थी, लेकिन समय बीत जाने पर नियुक्ति पत्र नहीं मिला। उनको शक हुआ। उससे अपनी रकम वापस मांगी, लेकिन टाल मटौल करता रहा। बाद में गाली गलौज कर रकम लौटाने से इन्कार कर दिया। पुलिस ने ओम प्रकाश की तहरीर पर आरोपी के खिलाफ रिपोर्ट दर्ज की है। सीओ अंजलि कटारिया का कहना है कि रिपोर्ट दर्ज कर ली गई हैै। जांच कर कार्रवाई की जाएगी।
विज्ञापन
नगर के कवि नगर मोहल्ला निवासी ओम प्रकाश सिंह का कहना है कि वह दो दशक से कोचिंग सेंटर चलाते हैं। फरवरी-26 में दिल्ली से वापस लौटते समय उनकी मुलाकात रोडवेज बस में थाना क्षेत्र के गांव खादगुर्जर की मढ़ैयों निवासी दीपक कुमार से हुई। उसने खुद को एयरफोर्स का अधिकारी बताया। पोस्टिंग का स्थान 54 एएसपी एयरफोर्स स्टेशन गुरुग्राम बताई। उसने कोचिंग का कार्ड ले लिया। कुछ दिनों बाद फोन कर बताया कि आर्मी में स्टोर कीपर एवं चालक पद के लिए लद्दाख में डायरेक्ट मेडिकल के आधार पर भर्ती चल रही हैं। उसने अधिकारियों सेे अच्छी साठगांठ बताते हुए कई की नौकरी लगवाने की बात कही। वह कोचिंग सेंटर पर भी आकर मिला। उसकी बातों में आकर अपने साढ़ू के दो बेटों, दोस्त के दामाद का फाइनल सलेक्शन कराने के नाम पर तीनों सेे 13 लाख रुपये ले लिए। मेडिकल कराने के लिए लेह लद्दाख ले गया। 11 मई-26 तक नियुक्ति पत्र मिलने की बात कही थी, लेकिन समय बीत जाने पर नियुक्ति पत्र नहीं मिला। उनको शक हुआ। उससे अपनी रकम वापस मांगी, लेकिन टाल मटौल करता रहा। बाद में गाली गलौज कर रकम लौटाने से इन्कार कर दिया। पुलिस ने ओम प्रकाश की तहरीर पर आरोपी के खिलाफ रिपोर्ट दर्ज की है। सीओ अंजलि कटारिया का कहना है कि रिपोर्ट दर्ज कर ली गई हैै। जांच कर कार्रवाई की जाएगी।
विज्ञापन",0.0
MY Bharat Yuva Kargil Sports Event Celebrates Women’s Day in Ladakh | Akashvani News - News On AIR,https://news.google.com/rss/articles/CBMilwFBVV95cUxNM3dtNERjY1FaOVNkdXEwbHBYNXNUNjNrVVJVdDU4bzZ1WGI5cjA3RDVIVjNZS3NxRWhlMHNtckNLalZOWnFuYUFDZ2VXd0tRRUlpQkE2dlFnWFlJS25MWG4zb3lCTEozYTcxTkNZeWtxYW5ldzIzUWNjdExUOVY4WDBha250d2QzZ1IxZG93UVRQVDZ6Tmpn?oc=5,News On AIR,2026-07-05T13:55:51+05:30,en,Ladakh,Kargil,"""heatwave"" Ladakh","In Ladakh, a sports event, MY Bharat Yuva Kargil, was organised to mark International Women’s Day in Kargil today. The programme was held in collaboration with the District Youth Services and Sports Office, Kargil under Government of India’s ASMITA initiative.
Organised under the aegis of the Ministry of Youth Affairs and Sports, the event aimed to encourage women’s participation in sports and promote the message of women’s empowerment through sports.
Additional Superintendent of Police Kargil, Ishtiyaq Ahmad Kacho, attended the programme as the Chief Guest, while Scientist at Agriculture University Ladakh, Dr. Rinchen Dolkar was the Guest of Honour.
Despite observing fasting during the holy month of Ramadan, young women from different parts of Kargil participated enthusiastically in the event, demonstrating strong commitment and sporting spirit.",0.0
