title,url,source,date,language,state,district,search_term,full_text,relevance_score
MP heatwave pushes 16 cities beyond 44°C: Rain and thunderstorms likely across most districts for next thre... - Bhaskar English,https://news.google.com/rss/articles/CBMivgFBVV95cUxNWmZwUUVLRnJqMEo1NU1DYzhpY0VQb2FoRFdLb2x0RW5tS2VreG5BdXZJLWlmLXNHN3BpQm1sLS15dVNLOXFyb1FPS21Ub0xIR0R3MWMtcEJrX0dfYzlsUGJySzdXSGNYMjNxdll4V3hGeWlIUWNIS09FNVVaT2tiZ2N4X01GV3RpdHo1eXN5a0FPYUtEdnY4VmROM0c4Mng5LWtqNUlNVURiMDRtSU85QnVlaGFXNzhjWmFMVzlR0gG-AUFVX3lxTE1aZnBRRUtGcmowSjU1TUNjOGljRVBvYWhEV0tvbHRFbm1LZWt4bkF1dkktaWYtc0c3cGlCbWwtLXl1U0s5cXJvUU9LbVRvTEhHRHcxYy1wQmtfR19jOWxQYnJLN1dIY1gyM3F2WXhXeEZ5aUhRY0hLT0U1VVpPa2JnY3hfTUZXdGl0ejV5c3lrQU9hS0R2djhWZE4zRzgyeDkta2o1SU1VRGIwNG1JTzlCdWVoYVc3OGNaYUxXOVE?oc=5,Bhaskar English,2026-05-27T06:40:58+05:30,en,Madhya Pradesh,Alirajpur,"""heatwave"" Madhya Pradesh","Silence on MP roads in afternoon:Very few people seen outdoors; 3-day rain alert from May 28
Madhya Pradesh continued to reel under intense heat on Tuesday, with temperatures crossing 44°C in 16 cities across the state. Khajuraho and Nowgong in Chhatarpur district remained the hottest locations, while the India Meteorological Department (IMD) has predicted widespread rain and thunderstorm activity from May 28 onwards, signaling the onset of pre-monsoon weather conditions.
According to the IMD’s Bhopal center, the first two days of the “Nautapa” period — traditionally considered the hottest phase of summer — witnessed unexpected spells of rain and thunderstorms in several regions. The department now expects rain activity to continue across most parts of the state for three consecutive days beginning Wednesday. Officials also indicated that the southwest monsoon may enter Madhya Pradesh between June 10 and 16.
Khajuraho and Nowgong remain hottest
On Tuesday, Khajuraho recorded the highest temperature in the state at 46.4°C, followed by Nowgong at 45.6°C.
Other major temperature readings included:
Among the state’s five major cities, Gwalior remained the hottest at 44.1°C. Bhopal recorded 43.2°C, Jabalpur 43.9°C, Ujjain 42°C, and Indore 41.2°C.
Heatwave alerts across several districts
The IMD has issued heatwave warnings across multiple districts for Wednesday.
Extreme heat conditions
Eight districts — Indore, Dhar, Barwani, Jhabua, Alirajpur, Harda, Narmadapuram and Betul — are expected to experience extremely hot conditions.
Rain and Thunderstorm activity likely after May 28
The Meteorological Department said the heatwave is expected to peak by May 28. From May 29 onward, several parts of the state are likely to witness thunderstorms, gusty winds and rainfall.
Meteorologist HS Pandey advised residents to avoid stepping outdoors between 12 pm and 3 pm unless absolutely necessary. He also urged people to stay hydrated, wear light-colored cotton clothes, and take special care of children and elderly family members.
Bhopal frequently records rain during Nautapa
Historical weather data shows that Bhopal has experienced rainfall during the Nautapa period seven times in the last 14 years, with light drizzles recorded on two other occasions.
The city saw some of its hottest summers in 2018 and 2019, when average temperatures crossed 43°C. This year too, rain activity has already begun during Nautapa.",0.8500000000000001
"Madhya Pradesh May 27, 2026, Weather Update: Heatwave Continues During Nautapa As Temperatures Cross 46°C In - Free Press Journal",https://news.google.com/rss/articles/CBMinwJBVV95cUxOWTczRFBYS29meXVpNzJRcGZIdko2c09QUXJYUGlLQmlYRFFmbU1VSFpzNHdwRnR3R1VrbjlTSEhvRFlVZDJ3YmhZaU90YmIxVUJZQkgxelAzNnZtSWg2T2g2R1V5cERkMDhFbUVKS0toTnF1VnVPN0VvV0RQcFhmRkVvZnAyQUxnaVlwUFRTMlFrYUR1TVhNMFk1cmlhMWZzaEJjOVpJaHkzZVh4YUgyOXhSSkZlV1g4aDUxbVVMa05PcjlKUHpETExiTWl1QmRVOGRHeGF2bFF1OUZxb0hWbTNFSi1NT3VkSXVMU2FFcmNoRThEZi1DSHF6bXRDV3J5R0QtbTdEWE9PZW94YU1ib2E0M2FxYU1vcjE3R2V0SdIBnwJBVV95cUxOWTczRFBYS29meXVpNzJRcGZIdko2c09QUXJYUGlLQmlYRFFmbU1VSFpzNHdwRnR3R1VrbjlTSEhvRFlVZDJ3YmhZaU90YmIxVUJZQkgxelAzNnZtSWg2T2g2R1V5cERkMDhFbUVKS0toTnF1VnVPN0VvV0RQcFhmRkVvZnAyQUxnaVlwUFRTMlFrYUR1TVhNMFk1cmlhMWZzaEJjOVpJaHkzZVh4YUgyOXhSSkZlV1g4aDUxbVVMa05PcjlKUHpETExiTWl1QmRVOGRHeGF2bFF1OUZxb0hWbTNFSi1NT3VkSXVMU2FFcmNoRThEZi1DSHF6bXRDV3J5R0QtbTdEWE9PZW94YU1ib2E0M2FxYU1vcjE3R2V0SQ?oc=5,Free Press Journal,2026-05-27T09:33:36+05:30,en,Madhya Pradesh,Alirajpur,"""heatwave"" Madhya Pradesh","Madhya Pradesh May 27, 2026, Weather Update: Heatwave Continues During Nautapa As Temperatures Cross 46°C In Several Districts; Rain Likely In Next Two Days
Madhya Pradesh continued to face severe heatwave conditions even as rain and strong winds marked the beginning of pre-monsoon activity during Nautapa. The IMD issued red alerts in six districts, with temperatures crossing 46 degrees Celsius in parts of the state. Officials said rain is likely from May 28, while monsoon may enter the state between June 10 and 16.
Bhopal (Madhya Pradesh): Heavy heatwave conditions continue across Madhya Pradesh even as rain and strong winds have started during the first two days of Nautapa.
Weather Forecast
According to the IMD Bhopal, many parts of the state are expected to receive rainfall for three continuous days from May 28, which officials say is the beginning of pre-monsoon activity. The monsoon is likely to enter the state between June 10 and June 16.
On Wednesday, the weather department issued a red alert for severe heatwave in six districts — Niwari, Tikamgarh, Chhatarpur, Panna, Satna and Rewa. Tikamgarh is also expected to witness high night temperatures. Gwalior and Jabalpur remain under orange alert for intense heatwave conditions, while Bhopal may also experience heatwave.
Before this, on Tuesday, at least 16 cities in the state recorded temperatures of 44 degrees Celsius or above. Khajuraho and Nowgong in Chhatarpur district remained among the hottest places in the state. Khajuraho recorded 46.4 degrees Celsius, while Nowgong recorded 45.6 degrees Celsius.
Datia recorded 45.2 degrees, while Damoh, Satna and Tikamgarh touched 45 degrees Celsius. Rewa recorded 44.8 degrees, Rajgarh 44.6 degrees, Sheopur 44.4 degrees and Guna 44.3 degrees Celsius.
Among the five major cities of Madhya Pradesh, Gwalior remained the hottest with 44.1 degrees Celsius. Bhopal recorded 43.2 degrees, Jabalpur 43.9 degrees, Ujjain 42 degrees and Indore 41.2 degrees Celsius.
The weather department has issued orange alert for 19 districts and yellow alert for 22 districts due to heatwave conditions. Meanwhile, districts like Indore, Dhar, Barwani, Jhabua and Alirajpur are also expected to witness very hot weather.
Advise For People
A Weather scientist advised people to avoid going out between 12 PM and 3 PM unless necessary. He also asked people to drink enough water, stay hydrated and wear light cotton clothes, especially children and elderly people.
RECENT STORIES
-
Bargi Dam Cruise Tragedy: Probe Begins Under Retired High Court Judge After 13 Die; Questions Raised... -
Adani Group Market Cap Nears ₹20 Lakh Crore After Adding ₹5 Lakh Crore In 2026 Rally -
'I Will Personally Meet FWICE & Talk...': Mika Singh Supports Ranveer Singh Amid Ban Don 3... -
Tamil Nadu CM Vijay Meets PM Modi, Set To Hold Talks With Top National Leaders -
MAH-MHT CET 2026 PCM Group Second Attempt Objection Window Opens From Tomorrow; Raise Objections...",1.0
